Language,Script,Original ,Romanized,Reading dir.,Comments
Arabic,Arabic,نظام الحكم في عمان : من إمامة الإنتخاب الى السلطنة الوراثية,Niẓām al-ḥukm fī ʻUmān : min imāmat al-intikhāb ilá al-salṭanah al-wirāthīyah ,R-L,Hans Wehr's Dictionary for modern written Arabic is the current reference used for proper vocalization
Arabic,Arabic,ندوة علاقات مصر بدول حوض النيل في ظل رئاسة مصر للاتحاد الإفريقي‏,Nadwat ʻAlāqāt Miṣr bi-Duwal Ḥawḍ al-Nīl fī ẓill Riʼāsat Miṣr lil-Ittiḥād al-Ifrīqī,R-L ,
Arabic,Arabic,تهذيب البيان والجمع في الفرق بين التكليف والوضع,Tahdhīb al-bayān wa-al-jamʻ fī al-farq bayna al-taklīf wa-al-waḍʻ,R-L ,
ABAZIN,Cyrillic,,,L-R ,
ABKHAZ,Cyrillic,,,L-R ,
ADYGEI,Cyrillic,,,L-R ,
ALTAY,Cyrilllic,,,L-R ,
Armenian,Armenian,Մեդիա իրավունք : (ուսումնական ձեռնարկ),Media iravunkʻ : (usumnakan dzeṛnark),L-R ,
Assamese,Assamese,আগবাৰীত  ফুলিলে  সোনে  মোৰ  চম্পা,Āgabārīta phulile soṇe mora campā,R-L ,
AVARIC,Cyrillic,,,L-R ,
Azerbaijani (North),Latin,Milli dövlətçilik hərəkatının yüksəlişi və Xalq Cümhuriyyəti dövründə Azərbaycançılıq ideyası,Milli dövlätçilik häräkatının yüksälişi vä Xalq Cümhuriyyäti dövründä azärbaycançılıq ideyası ,L-R ,
Azerbaijani (South),Arabic,مجنون مجنون دوشون منى  شعر توپلوسو ,Macnūn macnūn düşün manī : şiʻr toplūsū,L-R ,
Azerbaijani ,Cyrillic,Ҝениш коммунизм гуруҹулуғу дөврүндә Азәрбајҹан тарихинин бәьзи мәсәләләринә даир,Ġenish kommunizm gurujulughu dȯvru̇ndă Azărbai̐jan tarikhinin băʹzi măsălălărină dair,L-R ,
BALKAR,Cyrillic,,,L-R ,
Baluchi,Arabic,درداں گریتگ زار جتک,Dardān̲ grītag zār jatak,R-L ,
BASHKIR,Cyrillic,,,L-R ,
Belarusian,Cyrillic,Пётр Клімук : жыццё і подзвіг касманаўта,Pi︠o︡tr Klimuk : z︠h︡ytstsi︠o︡ i podzvih kasmanaŭta,L-R ,
Bengali,Bengali,উনিশ-বিশ শতকে  পুরোনো  ঢাকার  সমাজ  ও  সংষ্কৃতি  ,Uniśa-Biśa śatake purono Ḍhākāra samāja o saṃskr̥ti ,R-L ,
Brahui,Arabic,پام کروسن,Pām karosan,R-L ,
Bulgarian,Cyrillic,Нова книга за руската емиграция в България,Nova kniga za ruskata emigrat︠s︡ii︠a︡ v Bŭlgarii︠a︡,L-R ,
Buryat,Cyrillic,"Хоёр үндэрэй хормойдо : очеркнууд, публицистическе статьянууд = У подножия двух ундуров / Бата-Мүнхэ Жигжитов.","Khoër u̇ndėrėĭ khormoĭdo : ocherknuud, publit︠s︡isticheske statʹi︠a︡nuud  = U podnozhii︠a︡ dvukh undurov / Bata-Mu̇nkhė Zhigzhitov.",L-R ,
Burmese,Burmese,ရခိုင်မဟာရာဇဝင်တော်ကြီး,Rakhuiṅʻ mahā rājavaṅʻ toʻ krīʺ,L-R ,
Central Asian languages,Cyrillic,,,L-R ,
CHECHEN,Cyrillic,,,L-R ,
Chinese,Hanzi,撞倒須彌 : 漢傳佛教青年學者論壇論文集,Zhuang dao Xumi : Han chuan Fo jiao qing nian xue zhe lun tan lun wen ji ,L-R ,
CHUVASH,Cyrillic,,,L-R ,
CIRCASSIAN,Cyrillic,,,L-R ,
DAGESTANI,Cyrillic,,,L-R ,
DARGWA,Cyrillic,,,L-R ,
GAGAUZ,Cyrillic,,,L-R ,
Georgian,"Asomtavruli, Nuskhuri, Mkhedruli",ადგილობრივი თვითმმართველობის კოდექსი : საქართველოს ორგანული კანონი; 2018 წლის 7 სექტებრის მდგომარეობით.,Adgilobrivi tʻvitʻmmartʻvelobis kodekʻsi : Sakʻartʻvelos organuli kanoni; 2018 clis 7 sekʻtembris mdgomareobitʻ.,,Modern Georgian is really only written in the mkhedruli script. The other two scripts are its historical predecessors. 
Greek (Ancient),Greek,καὶ ἀπεγαλάκτισεν τὴν Οὐκ-ἠλεημένην καὶ συνέλαβεν ἔτι καὶ ἔτεκεν υἱόν,kai apegalaktisen tēn ouk ēleēmenēn kai synelaben eti kai eteken huion ,L-R ,
Greek (Modern),Greek,"Η ΑΕΚ θα καλύψει όλο το συμβόλαιο του Μεξικανού παίχτη, πολλά χρήματα δηλαδή","Hē AEK tha kalypsei holo to symvolaio tou Mexikanou paichtē, polla chrēmata dēladē",L-R ,
Gujarati,Gujarati,વીરપસલી અને અન્ય વાર્તાઓ,Vīrapasalī ane anya vārtāo,L-R ,
Hebrew,Hebrew,אבות לבנים,Avot le-vanim,R-L ,
Hebrew,Hebrew with the diacritics in Roman,בנוסח עדות המזרח ונוסח אשכנז,be-nusaḥ ʻadot ha-Mizraḥ ṿe-nusaḥ Ashkenaz,R-L ,
Hindi,Devanagari,परमहंस की पीड़ा : महान क्रांतिकारी रामप्रसाद बिस्मिल के जीवन पर आधारित उपन्यास,Paramahaṃsa kī pīṛā : mahāna krāntikārī Rāmaprasāda Bismila ke jīvana para ādhārita upanyāsa ,,"There are several other dialects of Hindi language as well as Rajasthani language and its dialects, all are written in Devanagari script."
INGUSH,Cyrillic,,,L-R ,
