source	target	freq
.	.	220932
،	,	210332
/	/	79452
:	:	60777
الطبعة	al-Ṭabʻah	52670
محمد	Muḥammad	45373
1	1	40687
عبد	ʻAbd	40682
في	fī	39260
بن	ibn	34912
دار	Dār	26628
؛	;	25476
أحمد	Aḥmad	15250
تأليف	taʼlīf	13814
الله	Allāh	13641
علي	ʻAlī	13386
العربية	al-ʻArabīyah	11425
للنشر	lil-Nashr	10661
من	min	9979
والتوزيع	wa-al-Tawzīʻ	9670
]	]	8501
الأولى	al-ūlá	8441
[	[	7810
الدين	al-Dīn	7451
العربي	al-ʻArabī	7121
والنشر	wa-al-Nashr	6859
مكتبة	Maktabat	6718
سلسلة	Silsilat	6630
مركز	Markaz	6393
أبو	Abū	6189
حسن	Ḥasan	5951
دراسة	dirāsah	5631
محمود	Maḥmūd	5497
إبراهيم	Ibrāhīm	5015
ابن	Ibn	4972
على	ʻalá	4865
مطبعة	Maṭbaʻat	4705
الرحمن	al-Raḥmān	4603
حسين	Ḥusayn	4473
مصر	Miṣr	4321
يوسف	Yūsuf	4238
الثقافة	al-Thaqāfah	3894
القاهرة	al-Qāhirah	3891
)	)	3804
العزيز	al-ʻAzīz	3726
مصطفى	Muṣṭafá	3694
الإسلامية	al-Islāmīyah	3692
العامة	al-ʻĀmmah	3608
صالح	Ṣāliḥ	3565
وزارة	Wizārat	3555
جامعة	Jāmiʻat	3555
للدراسات	lil-Dirāsāt	3436
كتاب	Kitāb	3421
سعيد	Saʻīd	3383
بين	bayna	3334
إعداد	iʻdād	3298
عمر	ʻUmar	3250
للطباعة	lil-Ṭibāʻah	3215
المصرية	al-Miṣrīyah	3153
رواية	riwāyah	3005
احمد	Aḥmad	2982
مؤسسة	Muʼassasat	2924
سليمان	Sulaymān	2817
منشورات	Manshūrāt	2803
أبي	Abī	2778
م	M	2736
الإسلامي	al-Islāmī	2687
شعر	shiʻr	2593
خالد	Khālid	2571
دراسات	Dirāsāt	2554
,	,	2525
ابراهيم	Ibrāhīm	2499
""""	""""	2377
تقديم	taqdīm	2366
إلى	ilá	2278
تحقيق	taḥqīq	2251
العرب	al-ʻArab	2067
السيد	al-Sayyid	2022
الدار	al-Dār	2014
عن	ʻan	1967
بقلم	bi-qalam	1935
(	(	1920
2	2	1915
بيروت	Bayrūt	1888
الهيئة	al-Hayʼah	1859
n	n	1839
s	s	1835
سعد	Saʻd	1827
د	D	1824
الكريم	al-Karīm	1823
خليل	Khalīl	1799
للكتاب	lil-Kitāb	1765
الدراسات	al-Dirāsāt	1750
ناصر	Nāṣir	1745
الإسلام	al-Islām	1742
