,코드,메모,Note
,FKR001,"성 한자 변환 (金, 李 문제)","Conversion, Family names in Chinese (dealing with 金 and 李)"
,FKR002,성 두음 법칙,"Family names, Initial sound law"
,FKR003,이름 한자 변환,"First name, Chinese Character Conversion"
,FKR004,왼쪽 두 글자 중에서 두 글자 성 확인,Check first two characters. Two-syllable family name or not?
,FKR005,일곱 자 초과는  에러처리,Error if more than 7 syllables
,FKR006,스페이스 두 개 초과는 에러처리,Error if more than 2 spaces
,FKR007,스페이스 두 개 (성이 두 개),2 spaces (two family names)
,FKR008,스페이스 한 개 (두 번째 자리),1 space (2nd position)
,FKR009,스페이스 한 개 (세 번재 자리),1 space (3rd position)
,FKR010,띄어쓰기 없을 때,When there is no space
,FKR011,한글이름 판정 종성,"Check native Korean name, by coda"
,FKR012,한글이름 판정 중성+종성,"Check native Korean name, by vowel & coda"
,FKR013,한글이름 판정 모음 ㅢ,"Check native Korean name, by ㅢ"
,FKR014,자음동화 ㄱ,Consonant assimilation ㄱ
,FKR015,자음동화 ㄲ,Consonant assimilation ㄲ
,FKR016,자음동화 ㄴ,Consonant assimilation ㄴ
,FKR017,자음동화 ㄷ,Consonant assimilation ㄷ
,FKR018,자음동화 ㄹ,Consonant assimilation ㄹ
,FKR019,자음동화 ㅁ,Consonant assimilation ㅁ
,FKR020,자음동화 ㅂ,Consonant assimilation ㅂ
,FKR021,자음동화 ㅅ,Consonant assimilation ㅅ
,FKR022,자음동화 ㅆ,Consonant assimilation ㅆ
,FKR023,자음동화 ㅇ,Consonant assimilation ㅇ
,FKR024,자음동화 ㅈ,Consonant assimilation ㅈ
,FKR025,자음동화 ㅊ,Consonant assimilation ㅊ
,FKR026,자음동화 ㅎ,Consonant assimilation ㅎ
,FKR027,말음법칙,Final sound law
,FKR028,"유성음화1 (ㄹ+ㄷ, ㄹ+ㅈ 제외) 유성음+무성음","Vocalization 1 (except ㄹ+ㄷ, ㄹ+ㅈ): voiced+unvoiced"
,FKR029,유성음화2 무성음+유성음,Vocalization 2 unvoiced+voiced
,FKR030,나머지 변환,Convert everything else
,FKR031,"ㄹ + 모음/ㅎ/ㄹ [""l-r"",""l-l""] does not work USE alternative","ㄹ + vowels/ㅎ/ㄹ [""l-r"",""l-l""] does not work USE alternative"
,FKR032,대문자 ,Capitalization
,FKR033,순한글 2음절 이름 하이픈 제거,Remove hyphen in bisyllabic native Korean first name
,FKR034,이름 두음법칙,"First name, initial sound law"
,FKR035,알려진 이름 바꾸기,Replace established names
,FKR036,로마나이저 Functions Start,K-Romanizer Function Start
,FKR037,Ambiguities 리스트,List of ambiguities
,FKR038,한자 => 한글 변환,Convert Chinese characters to Hangul
,FKR039,띄어쓰는 고유명사 미리 교체,Replace Proper name with spaces in advance
,FKR040,하이픈  고유명사 미리 교체,Replace Proper name with a hyphen in advance
,FKR041,자음 이름 미리교체 (니은 & 리을 은 미리 로마자화),Romanize names of Hangul consonants
,FKR042,전부 대문자,Capitalize all first letters
,FKR043,첫글자만 대문자,Capitalize the first first letter
,FKR044,Ambiguities,Ambiguities
,FKR045,모호한 경우 경고문 시작,Starts Warning for ambiguities
,FKR046,모호한 경우 경고문 끝,Ends Warning for ambiguities
,FKR047,대문자,Capitalization
,FKR048,두음법칙,Initial sound law
,FKR049,"소리변화리스트, 행정구역, 기호사전처리","Sound change exception word list, jurisdiction, symbols, etc."
,FKR050,기호 사전처리,Starts preprocessing symbol 
,FKR051,기호 사전처리 끝,Ends preprocessing symbol 
,FKR052,제+숫자 미리 교체,Replace Che+number
,FKR053,ㄴ첨가 단어 리스트,n-addition word list
,FKR054,경음화 단어 리스트 zero+자음,glotalization word list:  no coda+consonant
,FKR055,경음화 단어 리스트 ㄴ+자음,glotalization word list:  [n]+consonant
,FKR056,경음화 단어 리스트 ㄹ+자음,glotalization word list:  [l]+consonant
,FKR057,경음화 단어 리스트 ㅁ+자음,glotalization word list:  [m]+consonant
,FKR058,경음화 단어 리스트 ㅇ+자음,glotalization word list:  [ng]+consonant
,FKR059,경음화 실현,Apply glottalization
,FKR060,숫자 + -년/-년도/-년대 처리,Process number + -년/-년도/-년대
,FKR061,행정구역 (시),Jurisdiction (시)
,FKR062,"행정구역 (국,도,군,구)","Jurisdiction (국,도,군,구)"
,FKR063,"왕명 (조/종 제외, 태후/세자 등 포함)","Temple names of Kings, Queens, etc. (except 조/종)"
,FKR064,빈출 인명,Frequent historical names
,FKR065,자동 처리 불가능 단어,Word list (automation not applicable)
,FKR066,기호 재삽입,Starts restore symbols
,FKR067,기호 재삽입 끝,Ends restore symbols
,FKR068,"예외발음, 두음법칙 예외, 고유명사","Exceptions, Exceptions to initial sound law, Proper names"
,FKR069,예외 발음,Irregular sound change list
,FKR070,ㄴ음 첨가 위치 표시 - +,[n] insertion position mark +
,FKR071,ㄴ 첨가현상,[n] insertion
