א	אַלעף
אַבא	אַבע
אַבוהבֿ	אַבוהאַבֿ
אבן פּקודה	איבן פּעקודעה,עוון פּעקודעה
אבן־פּקודה	איבן־פּעקודעה,עוון־פּעקודעה
אָבֿ	אָב
אַבֿ בית דין	אַבֿ בעזדן,אַוו בעזן
אַבֿ־בית־דין	אַבֿ־בעזדן,אַוו־בעזן
אַבֿ הרחמים	אַבֿ האָראַחמים
אַבֿ־הרחמים	אַבֿ־האָראַחמים
אַבֿדה	אַבֿיידעה
אַבֿדות	אַבֿיידעת
אָבֿות	אָוועת
אָבֿות אַבֿותיו	אָוועת אַווויסאָוו
אָבֿות־אַבֿותיו	אָוועת־אַווויסאָוו
אָבֿות אַבֿותינו	אָוועת אַווויתיינו
אָבֿות־אַבֿותינו	אָוועת־אַווויתיינו
אַבֿי אַבֿות הטומאה	אַבֿי אַוואָת האַטומעה
אַבֿי־אַבֿות־הטומאה	אַבֿי־אַוואָת־האַטומעה
אַבֿי יתומים	אַבֿי יעתוימים
אַבֿי־יתומים	אַבֿי־יעתוימים
אַבֿיגדור	אַבֿיגדער
אַבֿיגדורן	אַבֿיגדערן
אַבֿיגדורס	אַבֿיגדערס
אבֿיון	עבֿיען
אבֿיונות	עבֿיוינעת
אבֿיונטע	עבֿיענטע
אבֿיונטעס	עבֿיענטעס
אבֿיונים	עבֿיוינים
אבֿיוניש	עבֿיויניש
אָבֿינו מלכּנו	אָבֿינו מאַלכּיינו
אָבֿינו־מלכּנו	אָבֿינו־מאַלכּיינו
אַבֿישלום	אַבֿישאָלעם
אַבֿישלומס	אַבֿישאָלעמס
אַבֿישלומען	אַבֿישאָלעמען
אָבֿל	אָבֿל
אָבֿל וחפֿוי ראָש	אָבֿל וואַחאַפֿוּי ראָש
אָבֿל־וחפֿוי־ראָש	אָבֿל־וואַחאַפֿוּי־ראָש
אבֿל ותוגה	אייבֿל וועתוגעה
אבֿל־ותוגה	אייבֿל־וועתוגעה
אַבֿלות	אַבֿיילעת
אָבֿלטע	אָבֿלטע
אָבֿלטעס	אָבֿלטעס
אַבֿלים	אַבֿיילים
אבֿן	עבֿן
אבֿן בוחן	עבֿן בויחן
אבֿן־בוחן	עבֿן־בויחן
אבֿן העזר	עבֿן האָעזער
אבֿן־העזר	עבֿן־האָעזער
אבֿן־טובֿ	עוונטאָוו
אבֿן נגף	עבֿן נעגעף
אבֿן־נגף	עבֿן־נעגעף
אבֿן עזרא	עבֿן עזרע
אבֿן־עזרא	עבֿן־עזרע
אבֿני נגף	אַבֿנע נעגעף
אבֿני־נגף	אַבֿנע־נעגעף
אבֿנים טובֿות	אַבֿאָנים טויוועת
אבֿנים־טובֿות	אַבֿאָנים־טויוועת
אבֿר	אייבֿער
אבֿר מן החי	אייבֿער מין האַחײַ
אבֿר־מן־החי	אייבֿער־מין־האַחײַ
אַבֿרהם	אַבֿראָם
אַבֿרהם אָבֿינו	אַבֿראָהאָם אָבֿינו,אַווראָם אָווינו
אַבֿרהם אָבֿינוס	אַבֿראָהאָם אָבֿינוס,אַווראָם אָווינוס
אַבֿרהמל	אַבֿרעמל
אַבֿרהמלס	אַבֿרעמלס
אַבֿרהמלען	אַבֿרעמלען
אַבֿרהמס	אַבֿראָמס
אַבֿרהמען	אַבֿראָמען
אבֿרים	אייבֿרים
אַבֿשלום	אַבֿשאָלעם
אַבֿשלומס	אַבֿשאָלעמס
אַבֿשלומען	אַבֿשאָלעמען
אַגבֿ	אַגעבֿ
אַגבֿ אורחא	אַגעבֿ אורחע
אַגבֿ־אורחא	אַגעבֿ־אורחע
אַגבֿ אורחאדיק	אַגעבֿ אורחעדיק
אַגבֿ־אורחאדיק	אַגעבֿ־אורחעדיק
אַגדה	אַגאָדעה
אַגדות	אַגאָדעת
אַגדתּא	אַגאַדעתּע
אַגדתּות	אַגאַדעתּעת
אַגודה	אַגודעה
אַגודהניק	אַגודעניק
אַגודהניקעס	אַגודעניקעס
אַגודות	אַגודעת
אַגודת ישׂראל	אַגודעת ייִשׂראָעל
